参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P0-54,0x2036,泛用范围比较数字输出1 - 下限,DRV's Parameter  P0-54,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 使用此功能前，需先设定数字输出功能为0x2C (第一组泛用范围比较)与P0.017监控项目。 | 当P0.009监控项目值在P0.054与P0.055所设定的范围内，且经过P0.053.X设定的滤波时间后，该数字输出状态为On。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-55,0x2037,泛用范围比较数字输出1 - 上限,DRV's Parameter  P0-55,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 请见参数P0.054说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-56,0x2038,泛用范围比较数字输出2 - 下限,DRV's Parameter  P0-56,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 使用此功能前，需先设定数字输出功能为0x2D (第二组泛用范围比较)与P0.018监控项目。 | 当P0.010监控项目值在P0.056与P0.057所设定的范围内，且经过P0.053.Y所设定的滤波 | 时间后，该数字输出状态为On。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-57,0x2039,泛用范围比较数字输出2 - 上限,DRV's Parameter  P0-57,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 请见参数P0.056说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-58,0x203A,泛用范围比较数字输出3 - 下限,DRV's Parameter  P0-58,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 使用此功能前，需先设定数字输出功能为0x2E (第三组泛用范围比较)与P0.019监控项目。 | 当P0.011监控项目值在P0.058与P0.059所设定的范围内，且经过P0.053.Z所设定的滤波 | 时间后，该数字输出状态为On。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-59,0x203B,泛用范围比较数字输出3 - 上限,DRV's Parameter  P0-59,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 请见参数P0.058说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-60,0x203C,泛用范围比较数字输出4 - 下限,DRV's Parameter  P0-60,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 使用此功能前，需先设定数字输出功能为0x2F (第四组泛用范围比较)与P0.020监控项目。 | 当P0.012监控项目值在P0.060与P0.061所设定的范围内，且经过P0.053.U所设定的滤波 | 时间后，该数字输出状态为On。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-61,0x203D,泛用范围比较数字输出4 - 上限,DRV's Parameter  P0-61,UDINT,32,ro,T,| - |,| -2147483648 ~ +2147483647 |,| 0 |,| All |,P0,—,| 请见参数P0.060说明。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P0-62,0x203E,保留,DRV's Parameter  P0-62,UINT,16,ro,T,,,,,P0,—,
P0-63,0x203F,★,DRV's Parameter  P0-63,UDINT,32,ro,T,| ms |,| 0 ~ 2147483647 |,| 0 |,| All |,P0,—,| 220V机种：记录DC Bus电压大于400V的累计时间。 | 400V机种：记录DC Bus电压大于800V的累计时间。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
