参数编号,CoE Index,中文名称,英文名称,类型,位宽,访问,PDO映射,单位,设定范围,默认值,控制模式,所属组,示波器通道,功能说明
P1-14,0x210E,内部扭矩指令3 / 内部扭矩限制3,DRV's Parameter  P1-14,UINT,16,rw,RT,| % |,| -5000 ~ +5000 |,| 100 |,| T / Tz：内部扭矩指令3 | PT / PR / S / Sz：内部扭矩限制3 |,P1,—,| 内部扭矩指令3：第3段内部扭矩指令设定。 | 内部扭矩限制3：第3段内部扭矩限制设定。 | 当P2.112 [Bit 14] = 0 (扭矩单位为1%) | 内部扭矩指令：35 = 35% | 内部扭矩限制：正负值结果相同，请见以下说明。 | 内部扭矩限制输入范例： | P1.014扭矩限制设定值 | 允许扭矩范围 | 正向运转扭矩限制 | 逆向运转扭矩限制 | 35 | -35% ~ +35
P1-15,0x210F,[E-Cam] 同步抓取修正轴修正滤波设定,DRV's Parameter  P1-15,UINT,16,ro,T,| - |,| 0x0000 ~ 0x1F5F |,| 0x0000 |,| PR |,P1,—,| YX | 滤波作用范围 (0 ~ 95%) | Z | 滤波强度 (0 ~ F) | U | 滤波作用状态 | - | - | YX：滤波作用范围 (0 ~ 95%) | 同步抓取修正轴抓取到信号后，会计算新的修正率，若新的修正率与前次修正率小于本参数设定的范围(%)，才会滤波，否则直接以新修正率修正误差。 | YX | 说明 | 00 | 滤波关闭 | 01 ~ 5F | 若 | 误差 | 
P1-16,0x2110,■,DRV's Parameter  P1-16,UINT,16,ro,T,| 同主动轴脉冲单位 |,| -32768 ~ +32767 |,| 0 |,| PR |,P1,—,| 同步抓取修正轴作用时，欲变更同步轴的偏移量(P5.079)，可使用本参数写入偏移量。 | 写入本参数：P5.079 = P5.079 + 写入值 | 读取本参数：读出值 = P5.079 | 注：本参数采累进制，不受当前误差量影响。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-17,0x2111,追随误差额外补偿时间设定,DRV's Parameter  P1-17,UINT,16,rw,RT,| ms (最小刻度为μs) |,| -25.000 ~ +25.000 (含3位小数点) |,| 0 |,| PR |,P1,—,| 追随误差补偿功能开启(P1.036 = 1)后，伺服会根据命令计算补偿量，将位置误差(PUU)接近0。若位置控制前馈增益(P2.002)与位置积分补偿(P2.053)无法达成，可设定额外补偿时间以补偿误差量。 | 额外补偿误差量 = P1.017 x 电机当时速度 | 注：需先开启追随误差补偿功能 (P1.036 = 1)，才可使用额外补偿功能。 | > | [参数列表] | [2022/10
P1-18,0x2112,[E-Cam] 凸轮主动轴脉冲补偿时间设定,DRV's Parameter  P1-18,UINT,16,ro,T,| ms (最小刻度为μs) |,| -25.000 ~ +25.000 (含3位小数点) |,| 0 |,| PR |,P1,—,| 凸轮运转过程中，若排除机构因素，仍有追随误差存在，可能是电气延迟所造成的误差，伺服可额外补偿主动轴脉冲数，使凸轮相位正确。若补偿时间设定为0，则不补偿。 | 补偿量(Pulse) = P1.018 x (凸轮主动轴脉冲频率(Kpps) – P1.021 (凸轮主动轴脉冲补偿最小 | 频率)) | 注：凸轮主动轴脉冲频率(Kpps)可由监控变量060 (3Ch)观察。 | > | [参数列表] 
P1-19,0x2113,[Capture][Compare] 额外功能设定,DRV's Parameter  P1-19,UINT,16,ro,T,| - |,| 0x0000 ~ 0x0101 |,| 0x0000 |,| All |,P1,—,| X | Capture额外功能 | Z | Compare额外功能 | Y | 保留 | U | 保留 | X：Capture额外功能 | 位 | 功能 | 说明 | 0 | 循环模式 | 0：关闭此功能。当抓取数量P5.038 = 0，表示已完成抓取。 | 1：开启此功能。当抓取数量P5.038 = 0，自动将抓取数量回复至初始设定值。 | 1 ~ 3 | 保留 | - | Z：Compar
P1-20,0x2114,[Capture] 遮没范围设定,DRV's Parameter  P1-20,UDINT,32,ro,T,| Capture来源之脉冲单位 |,| 0 ~ +100000000 |,| 0 |,| All |,P1,—,| 当Capture功能开启，且设定抓取多点数(P5.038 > 1)，使用此参数设定在抓取到数据后，停止接收DI抓取信号的范围。在此范围内所收到的DI抓取信号将不被认证。此功能可避免于非抓取区间内将干扰等杂波误判为有效信号。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-21,0x2115,[E-Cam] 凸轮主动轴脉冲补偿最小频率设定,DRV's Parameter  P1-21,UINT,16,ro,T,| Kpps |,| 0 ~ +30000 |,| 0 |,| PR |,P1,—,| 凸轮运转过程中，若排除机构因素，仍有追随误差存在，可能是电气延迟所造成的误差，伺服可额外补偿主动轴脉冲数，使凸轮相位正确。 | 补偿量(Pulse) = P1.018 (凸轮主动轴脉冲补偿时间) x (凸轮主动轴脉冲频率(Kpps) – P1.021) | 注：凸轮主动轴脉冲频率(Kpps)可由监控变量060 (3Ch)观察，且凸轮主动轴脉冲频率(Kpps)需大于P1.021才会进行补偿。 |
P1-22,0x2116,PR命令特殊滤波器,DRV's Parameter  P1-22,UINT,16,ro,T,| - |,| 0x0000 ~ 0x107F |,| 0x0000 |,| PR |,P1,—,| YX | 加/减速时间限制 (0 ~ 1270 ms) | Z | 保留 | U | 禁止反转 | - | - | YX：加/减速时间限制 (0 ~ 1270 ms) | PR命令变化太剧烈时，易造成机械震动。本功能可设定加减速时间限制(电机由停止加速至3000 rpm或由3000 rpm减速至停止所需的时间 | 注 | )，若命令的加减速时间短于此限制，则滤波器会作用，使加减速平缓，避免命令
P1-23,0x2117,[Compare] 数据平移设定(断电保持),DRV's Parameter  P1-23,UDINT,32,ro,T,| Compare来源之脉冲单位 |,| -10000000 ~ +100000000 |,| 0 |,| All |,P1,—,| 此参数可将预计比较的资料阵列数值加上平移数值，而此结果可做为使用Compare功能时实际用来比较的数据。 | CMP_DATA = DATA_ARRAY[*] + P1.023 + P1.024 | 范例： | 若预计比较的资料阵列DATA_ARRAY[100] = 2000；P1.023 = 40；P1.024 = 0； | 实际比较的数值 = 2000 + 40 = 2040。 | 注：C
P1-24,0x2118,■,DRV's Parameter  P1-24,UINT,16,ro,T,| Compare来源之脉冲单位 |,| -32768 ~ +32767 |,| 0 |,| All |,P1,—,| 此参数可将预计比较的资料阵列数值加上平移数值，而此结果可做为使用Compare功能时实际用来比较的数据。 | CMP_DATA = DATA_ARRAY[*] + P1.023 + P1.024 | 注： | 若P1.019.Z [Bit 0] = 1，本参数生效后自动归零。 | CMP_DATA可由监控变量037(25h)观察。 | > | [参数列表] | [2022/10]-[2023/
P1-25,0x2119,低频抑振频率1,DRV's Parameter  P1-25,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 1000 |,| 1000 |,| PT / PR |,P1,—,| 第一组低频抑振频率设定值。若P1.026设为0，第一组低频抑振滤波器关闭。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-26,0x211A,低频抑振增益1,DRV's Parameter  P1-26,UINT,16,rw,RT,| - |,| 0 ~ 9 |,| 0 |,| PT / PR |,P1,—,| 第一组低频抑振增益，加大设定值可提升位置响应，但是数值过大容易使得电机运转不顺，建议设1。将P1.026设为0：关闭第一组低频抑振滤波器。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-27,0x211B,低频抑振频率2,DRV's Parameter  P1-27,UINT,16,rw,RT,| 0.1 Hz |,| 10 ~ 1000 |,| 1000 |,| PT / PR |,P1,—,| 第二组低频抑振频率设定值。若P1.028设为0时，第二组低频抑振滤波器关闭。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-28,0x211C,低频抑振增益2,DRV's Parameter  P1-28,UINT,16,rw,RT,| - |,| 0 ~ 9 |,| 0 |,| PT / PR |,P1,—,| 第二组低频抑振增益。加大设定值可提升位置响应，但是数值过大容易使得马运转不顺，建议设1。将P1.028设为0：关闭第二组低频抑振滤波器。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-29,0x211D,自动低频抑振模式设定,DRV's Parameter  P1-29,UINT,16,rw,RT,| - |,| 0 ~ 1 |,| 0 |,| PT / PR |,P1,—,| 设定值 | 设定说明 | 0 | 关闭自动侦测低频振动频率的功能。 | 1 | 自动抑振，当搜寻不到或搜寻到的频率稳定时，自动设回0并自动储存低振抑振频率至P1.025。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-30,0x211E,低频摆动检测准位,DRV's Parameter  P1-30,UDINT,32,rw,RT,| pulse |,| 1 ~ 128000 |,| 8000 |,| PT / PR |,P1,—,| 设定自动抑振时(P1.029 = 1)的检测准位。此值越低的话，对于频率的侦测会比较敏感，但容易误判杂波或是其他非主要的低频摆荡为抑振频率。此值越高的话，比较不会误判，但假如机构摆动幅度比较小的话，则比较不容易搜寻到低频摆动的频率。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-31,0x211F,保留,DRV's Parameter  P1-31,UINT,16,rw,RT,,,,,P1,—,
P1-32,0x2120,电机停止模式,DRV's Parameter  P1-32,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0020 |,| 0x0000 |,| All |,P1,—,| X | 保留 | Z | 保留 | Y | 电机停止模式 | U | 保留 | Y：电机停止模式 | 位 | 功能 | 说明 | Bit 5、Bit 4 | 动态刹车执行 | 选项 | Servo Off或Alarm (含EMGS) 发生时的停止模式 | Bit 5 = 0、Bit 4 = 0：执行动态刹车 | Bit 5 = 0、Bit 4 = 1：电机空转 | Bit 5 = 1、Bit 
P1-33,0x2121,保留,DRV's Parameter  P1-33,UINT,16,ro,T,,,,,P1,—,
P1-34,0x2122,S形平滑曲线的加速常数,DRV's Parameter  P1-34,UINT,16,rw,RT,| ms |,| 1 ~ 65500 |,| 200 |,| S / Sz |,P1,—,| 设定旋转电机从零速到3000 rpm或直线电机从零速到5 m/s的加速时间。P1.034、P1.035、P1.036均可独立设定。若使用内部命令，即使 P1.036设为0，仍有梯形加减速规划；若使用模拟量命令，P1.036的设定需要大于0才能有梯形加减速规划。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-35,0x2123,S形平滑曲线的减速常数,DRV's Parameter  P1-35,UINT,16,rw,RT,| ms |,| 1 ~ 65500 |,| 200 |,| S / Sz |,P1,—,| 设定旋转电机从3000 rpm到零速或直线电机从5 m/s到零速的减速时间。P1.034、P1.035、P1.036均可独立设定。若使用内部命令，即使P1.036设为0，仍有梯形加减速规划；若使用模拟量命令，P1.036的设定需要大于0才能有梯形加减速规划。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-36,0x2124,S形平滑曲线的加减速平滑常数,DRV's Parameter  P1-36,UINT,16,rw,RT,| ms |,| 0 ~ 65500 |,| 0 |,| PR / S / Sz |,P1,—,| 0：关闭此功能。 | P1.034：设定梯形加减速的加速时间。 | P1.035：设定梯形加减速的减速时间。 | P1.036：设定S形加减速的平滑时间。 | P1.034、P1.035、P1.036均可独立设定，即使P1.036设为0，仍有梯形加减速规划。 | P1.036 = 0 | P1.036 = 1 | P1.036 > 1 | S曲线平滑功能 | 关闭 | 关闭 | 开启 | 追随
P1-37,0x2125,负载惯量比或总重量,DRV's Parameter  P1-37,UDINT,32,rw,RT,| 1倍 (旋转)* | 1 kg (直线)* | 0.1倍 (旋转)* | 0.1 kg (直线)* | - | - |,| 0.0 ~ 200.0 (旋转)* | 0.0 ~ 6553.5 (直线)* | 0 ~ 2000 (旋转)* | 0 ~ 65535 (直线)* |,,| PT / PR / S / Sz | 初值： | 6.0 | 60 | 资料大小： | 32-bit |,P1,—,| 旋转电机负载惯量比(J_load / J_motor)或直线电机动子与负载的总重量(M_motor + M_load)。 | 其中J_motor：伺服电机本体的转动惯量。 | J_load：外部机械负载的总体等效转动惯量。 | M_motor：直线电机动子的重量。 | M_load：外部机械负载的总体等效重量。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > |
P1-38,0x2126,零速度检出准位,DRV's Parameter  P1-38,UINT,16,rw,RT,| 1 rpm (旋转)* | 1 | mm/s (直线)* | 0.1 rpm (旋转)* | 0.1 | mm/s (直线)* | - | - |,| 0.0 ~ 200.0 | 0 ~ 2000 | - | - |,,| All | 初值： | 10.0 | 100 | 资料大小： | 16-bit |,P1,—,| 设定零速度信号(ZSPD)的输出范围。即当电机速度的绝对值低于此设定值时，零速度信号成立且DO.ZSPD为On。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-39,0x2127,目标转速检出准位,DRV's Parameter  P1-39,UINT,16,rw,RT,| 1 rpm (旋转)* | 1 | mm/s (直线)* |,| 0 ~ 30000 (旋转)* | 0 ~ 15999 (直线)* |,| 3000 |,| All |,P1,—,| 设定电机目标速度。当电机速度的绝对值高于此设定值时，目标速度到达信号成立且DO.TSPD为On。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-40,0x2128,模拟量速度指令最大转速1,DRV's Parameter  P1-40,UDINT,32,rw,RT,| 1 rpm (旋转)* | 1 | mm/s (直线)* |,| 0 ~ 50000 (旋转)* | 0 ~ 15999 (直线)* |,| 额定转速 |,| S / T |,P1,—,| 在速度模式下： | 模拟量速度指令输入最大电压(10V)时的转速设定。 | 速度控制命令 = | 若设定2000时，当外部电压输入5V，则速度控制命令 =  = 1000 rpm (1000 mm/s)。 | 在扭矩模式下： | 模拟量速度限制输入最大电压(10V)时的转速限制设定。 | 速度限制命令 = | 若设定2000时，当外部电压输入5V，则速度限制命令 =  = 1000 rpm (
P1-41,0x2129,▲,DRV's Parameter  P1-41,UINT,16,rw,RT,| % |,| -1000 ~ +1000 |,| 100 |,| All |,P1,—,| 在扭矩模式下： | 模拟量扭矩指令输入最大电压(10V)时的扭矩设定。 | 扭矩控制命令 =  (单位：%) | 在速度、PT、PR模式下： | 模拟量扭矩限制输入最大电压(10V)时的扭矩限制设定。 | 扭矩限制命令 =  (单位：%) | 范例： | 若设定P1.041 = 10，当外部模拟量电压输入10V时，则扭矩控制(限制)命令=  = 10% | > | [参数列表] | [2022
P1-42,0x212A,电磁抱闸开启延迟时间,DRV's Parameter  P1-42,UINT,16,rw,RT,| ms |,| 0 ~ 1000 |,| 0 |,| All |,P1,—,| 设定从Servo On到电磁抱闸互锁信号(DO：0x08，BRKR)开启的延迟时间。 | 注： | 当延迟时间尚未结束且电机运转速度低于P1.038时，电磁抱闸互锁信号(BRKR)关闭。 | 当延迟时间结束而电机运转速度仍高于P1.038时，电磁抱闸互锁信号(BRKR)关闭。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-43,0x212B,电磁抱闸关闭延迟时间,DRV's Parameter  P1-43,UINT,16,rw,RT,| ms |,| -1000 ~ +1000 |,| 0 |,| All |,P1,—,| 设定从Servo Off到电磁抱闸互锁信号(DO：0x08，BRKR)关闭的延迟时间。详细时序图请见P1.042。 | 注：当P1.043为负值，发生Alarm (AL022除外) 或EMGS并导致驱动器Servo Off，P1.043的设定则无效，相当于延迟时间设为零。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-44,0x212C,▲,DRV's Parameter  P1-44,UDINT,32,rw,RT,| pulse |,| 1 ~ (2 | 29 | -1) |,| 16777216 |,| PT / PR |,P1,—,| 电子齿轮比设定请参考6.2.5节 电子齿轮比。多段电子齿轮比分子设定，请参考P2.060 ~ P2.062。 | 注： | Servo On时不可以变更此设定值。 | 在通讯模式下(DMCNET / CANopen / EtherCAT)，驱动器若重上电，其电子齿轮比将会依照通讯协议规范的默认值做设定。回复默认值将导致绝对坐标系重建，因此需重新执行原点复归。若不希望回复默认值，请将P3.012
P1-45,0x212D,▲,DRV's Parameter  P1-45,UDINT,32,rw,RT,| pulse |,| 1 ~ (2 | 31 | -1) |,| 100000 |,| PT / PR |,P1,—,| 设定错误时伺服电机易产生暴冲，故请依下列规定设定。 | 电子齿轮比值设定： | 电子齿轮比值范围：1 ＜ Nx / M ＜ 262144。 | 电子齿轮比设定请参考6.2.5节 电子齿轮比。 | 注： | Servo On时不可以变更此设定值。 | 在通讯模式下(DMCNET / CANopen / EtherCAT)，驱动器若重上电，其电子齿轮比将会依照通讯协议规范的默认值做设定。回复默认值
P1-46,0x212E,▲,DRV's Parameter  P1-46,UDINT,32,rw,RT,| pulse |,| 1 ~ 536870912 |,| 2500 |,| All |,P1,—,| 旋转电机：电机每转一圈的单相脉冲数设定；硬件可输出最大频率为19.8 MHz。 | 直线电机︰每移动1公尺的单相脉冲数设定；硬件可输出最大频率为19.8 MHz。 | CN2 / CN5的OAOB搭配设定请参阅P1.074.Y(OAOB输出来源)和P1.097(OAOB输出分母)说明。 | 注： | 在以下情况时，可能会超出驱动器最大可输出脉冲频率，而发生异警AL018或AL048： | 编码
P1-47,0x212F,速度到达(DO.SP_OK)判断范围,DRV's Parameter  P1-47,UINT,16,rw,RT,| 1 rpm (旋转)* | 1 mm/s (直线)* |,| 0 ~ 300 |,| 10 |,| S / Sz |,P1,—,| 在速度模式下，当速度命令与电机回授速度的误差值之绝对值小于本参数，并持续P1.049的时间，数字输出DO.SP_OK (DO：0x19)为On。 | 注：当速度命令与电机回授速度的误差值超出P1.047所设定的范围，则会重新计时。 | 方块图： | 速度命令：用户输入的命令(无加减速)，并非速度回路前端的命令。其来源为缓存器。 | 回授速度：电机实际的速度，有经过滤波。 | 取绝对值。 | 判
P1-48,0x2130,运动到达(DO.MC_OK)操作选项,DRV's Parameter  P1-48,UINT,16,rw,RT,| - |,| 0x0000 ~ 0x0011 |,| 0x0000 |,| PR |,P1,—,| 数字输出DO.MC_OK (DO：0x17)的行为控制选择。 | X | DO输出保持选项 | Z | 保留 | Y | 位置偏移警报AL380选项 | U | 保留 | X：DO输出保持选项 | 0：输出不保持 | 1：输出会保持 | Y：位置偏移警报AL380选项 | 0：AL380不作用 | 1：AL380作用 | 方块图： | 说明： | 命令触发：表示新命令生效，命令3开始输出，同时
P1-49,0x2131,速度到达累计时间,DRV's Parameter  P1-49,UINT,16,rw,RT,| ms |,| 0 ~ 65535 |,| 0 |,| S / Sz |,P1,—,| 在速度模式下时，若速度命令与电机回授速度的误差值之绝对值小于P1.047所设定的范围，并持续P1.049的时间后，数字输出DO.SP_OK (DO：0x19) 为On。若误差超出P1.047的范围，不论持续时间长短，皆需重新计时。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-50,0x2132,保留,DRV's Parameter  P1-50,UINT,16,ro,T,,,,,P1,—,
P1-51,0x2133,DRV's Parameter  P1-51,DRV's Parameter  P1-51,UINT,16,ro,T,—,—,,—,P1,—,
P1-52,0x2134,回生电阻值,DRV's Parameter  P1-52,UINT,16,rw,RT,| Ohm |,| 请参阅下表 |,| 随机种而定，请参阅下表 |,| All |,P1,—,| 机种 | 初值(Ω) | 设定范围(Ω) | 220V | 750 W (含) 以下 | 100 | 60 ~ 750 | 1 kW ~ 1.5 kW | 100 | 30 ~ 750 | 2 kW ~ 3 kW | 20 | 15 ~ 750 | 4.5 kW | 20 | 10 ~ 750 | 5.5 kW ~ 7.5 kW | 20 | 8 ~ 750 | 11 kW | 20 | 6 
P1-53,0x2135,回生电阻容量,DRV's Parameter  P1-53,UINT,16,rw,RT,| Watt |,| 0 ~ 15000 |,| 随机种而定，请参阅下表 |,| All |,P1,—,| 机种 | 初值 (Watt) | 220V | 200 W (含) 以下 | 0 | 400 W ~ 1.5 kW | 40 | 2 kW ~ 3 kW | 80 | 4.5 kW | 60 | 5.5 kW ~ 7.5 kW | 0 | 11 kW ~ 15 kW | 0 | 400V | 1.5 kW (含) 以下 | 60 | 2 kW ~ 15 kW | 0 | 不同回生电阻连接方式下
P1-54,0x2136,位置到达确认范围,DRV's Parameter  P1-54,UDINT,32,rw,RT,| pulse |,| 0 ~ 16777216 |,| 167772 |,| PT / PR |,P1,—,| 在位置(PT)模式下，当偏差脉冲数量小于设定之位置范围(参数P1.054设定值)，输出位置到达信号(TPOS)。 | 在位置内部缓存器(PR)模式下，当设定目标位置与实际电机位置相差之偏差值小于设定之位置范围(参数P1.054设定值)，输出位置到达信号(TPOS)。 | 范例： | 以旋转电机为例，设定P1.054 = 167772，当误差脉冲数小于167772，相当于167772 / 167
P1-55,0x2137,最大速度限制,DRV's Parameter  P1-55,UINT,16,rw,RT,| 1 rpm (旋转)* | 1 mm/s (直线)* |,| 0 ~ max. speed |,| 同各机型的额定转速 (旋转)* | 进行电机参数识别后自动填入 (直线)* |,| All |,P1,—,| 设定伺服电机之最大可运行速度。 | 注：旋转为永磁同步旋转电机的简称；直线则为永磁同步直线电机的简称。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-56,0x2138,电机过负载输出警告准位,DRV's Parameter  P1-56,UINT,16,rw,RT,| % |,| 0 ~ 120 |,| 120 |,| All |,P1,—,| 当设定值为0 ~ 100，伺服电机连续输出负载高于设定比例时(P1.056)，将输出预先过载警告 | 信号(DO：0x10，OLW)。设定值超过100时，取消此预先警告功能。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-57,0x2139,电机防撞保护功能1 - 扭力百分比,DRV's Parameter  P1-57,UINT,16,rw,RT,| % |,| 0 ~ 300 |,| 0 |,| All |,P1,—,| 设定保护的程度(对额定扭力的百分比，设0为关闭，设1以上为开启防撞功能)。 | 无外加重力时，设定值 = 正反转等速段平均扭力值 + 欲保护之扭力值；外加重力时，需再设定P1.060。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-58,0x213A,电机防撞保护功能 - 保护时间,DRV's Parameter  P1-58,UINT,16,rw,RT,| ms |,| 1 ~ 1000 |,| 1 |,| All |,P1,—,| 设定保护的时间，当达到保护程度设定值并超过保护的时间后，即显示AL030。 | > | [参数列表] | [2022/10]-[2023/04/13Make]
P1-59,0x213B,速度命令 - 动态均值滤波器,DRV's Parameter  P1-59,UINT,16,rw,RT,| 1 ms | 0.1 ms | - | - | 数据格式： | ㄧ位小数 | DEC | - | - |,,,| S | 初值： | 0.0 | 0 | 资料大小： | 16-bit |,P1,—,| 0：关闭此功能。 | 参数P1.006为低通滤波器(Low-Pass Filter)，此参数为动态均值滤波器(Moving filter)，两者的差异在于，动态均值滤波器(Moving filter)在步阶命令的起始及结尾时都会有平滑效果，而低通滤波器只有在结尾时会有较佳的平滑效果。 | 因此建议：若是速度环接受上位机命令是要形成位置环控制则可以使用低通滤波器，若是单纯的速度控制则可以使用动态
